Hash do merge,Data do merge,Tempo de isolamento [ramos],Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Diferentes desenvolvedores,Mesmos desenvolvedores,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
93ec26986d18509cbd650bd537256a67a465f8fd,2014-04-07 12:52:51 -0400,4.1509838,4.2863079,4,2,6,0,0,9,2,10,2,0,NAO,0,0
0b2dfcbe949f6ed4a7a17168dadcc560ffc54066,2014-04-07 12:22:18 -0400,3.1724884,4.2650926,3,1,4,0,0,5,4,5,6,1,NAO,0,0
8d8bd2b5ef8613e297eba05576cd374b46a13c0b,2014-04-06 16:10:46 -0400,6.0173380,10.1234144,3,1,4,0,0,17,1,105,2,1,NAO,0,0
91f6c2e0623a01f17cc1e412be0e5ba06816f14f,2014-04-04 13:44:17 -0400,70.3846991,72.3457870,16,1,17,1,1,57,1,128,1,1,NAO,0,0
1ca72d1d11a9b4b895df91e71f2d334c272b0584,2014-04-04 13:43:54 -0400,0.4427431,1.3217593,2,1,3,1,1,2,1,3,1,1,NAO,0,0
546fc0914ecc5a101d1808fab7adc4f11b43a9e8,2014-04-04 13:42:37 -0400,0.0236921,1.3208681,1,1,2,0,0,1,1,2,1,0,NAO,0,0
e329d4015a9699d407000483e8e95da2f631034c,2014-04-04 07:44:59 +0000,4.6953125,7.6055093,2,1,3,0,0,13,1,104,2,1,NAO,0,0
e7e1b60e1228e38fde8e642eabb2c0eab7f6ff04,2014-04-02 10:49:11 -0400,3.6055903,5.9000926,2,1,3,1,1,4,6,100,3,1,NAO,0,0
b2020bf7646ea9114241e488a78c5aed2575f3e0,2014-04-02 00:51:22 -0700,21.0198958,27.7066898,6,1,7,0,0,24,2,116,2,1,NAO,0,0
ba96963bc06376e28bb7ccb7eea17029c8edb8d8,2014-04-02 03:39:27 -0400,0.0211921,5.6016667,1,1,2,1,2,1,1,2,100,1,NAO,0,0
23d8445f2aef29da90c03dc06829006a616ee7cb,2014-03-27 20:12:45 +0300,0.2813310,2.3882523,1,1,2,0,0,1,1,2,2,2,SIM,1,2
ddbf9076f1911f7d7070561a894b02a4932e9b68,2014-03-24 18:59:04 +0900,1.5214352,2.9003935,1,0,1,0,0,1,0,2,0,0,NAO,0,0
d5f4651768cc3834d3f5637759194b5a9af77716,2014-03-21 21:22:30 +0900,0.0009606,0.0018866,1,1,2,1,2,1,1,2,2,2,NAO,0,0
2d02bfdea9d98a8321b93866aca6f7f39423b2c6,2014-03-21 21:22:03 +0900,0.0019676,0.0057870,1,1,2,1,2,1,1,3,2,1,NAO,0,0
3444ddcdee4ee9639d89fc33b5ac6424644bbe13,2014-03-21 21:20:40 +0900,0.0019676,0.0048264,1,1,2,1,2,1,1,3,2,1,NAO,0,0
94a57cfc1b3dee114cb5f709dba3ea3a31832008,2014-03-12 12:43:50 -0400,53.2032060,53.9194792,13,1,14,0,0,29,3,35,2,0,NAO,0,0
2b85efbe5740c4cc77d967e75722af81308ff1e7,2014-03-12 12:42:12 -0400,0.3234491,0.3335069,1,1,2,1,2,1,1,3,2,0,NAO,0,0
bb9afc6fbbd0194ee86cfbb90b0497a51f52b19a,2014-03-12 00:10:48 -0700,26.8593403,35.5103935,6,1,7,0,0,8,1,8,2,1,NAO,0,0
5833b37c0d684f6f0840360df317e4fdc6a08965,2014-03-05 09:16:02 -0500,23.0670718,26.7958681,2,1,3,0,0,2,2,2,4,0,NAO,0,0
aa0cbf9470c0858c1f260f9e8bc061b76231fc53,2014-02-06 14:09:59 -0500,0.0193634,0.0356481,1,1,2,1,2,1,1,1,1,2,NAO,0,0
ad3f6dc7c96424c3c4fbf9ea4b1c6703f05892e9,2014-02-04 10:55:50 -0800,0.4397917,0.4638426,2,1,3,0,0,2,2,3,2,0,NAO,0,0
5a9e469f02a43eda3bef4f6193ad361044cd31db,2014-02-04 10:22:25 -0800,0.0024190,0.4406366,1,1,2,0,0,1,1,1,2,0,NAO,0,0
386e6975c5c2bccf58465fd1c14ac7a64f6924e2,2014-02-04 01:04:41 -0800,0.0485417,0.6634722,1,1,2,0,0,2,1,2,1,0,NAO,0,0
6788b2bc353f31d804de42ea7b7f942eb564cf68,2014-02-03 23:47:54 -0800,81.1380903,82.4570139,31,1,32,0,0,129,2,61,2,0,NAO,0,0
4c4b9bd8437bf421f1021d11fbe9307097c1fdec,2014-02-03 09:09:17 -0800,0.4630556,1.7132523,1,1,2,1,2,1,1,2,2,0,NAO,0,0
5aa3e4b8c446d26e71e0eb38a3b0ec9cbc1efc34,2014-02-01 16:02:12 -0800,3.0791435,8.6439583,1,1,2,0,0,1,1,2,1,0,NAO,0,0
a80ee78a14ccb922d6122e8e4d38cbfd759c2cd5,2014-01-17 10:39:47 -0800,0.0657986,2.9359954,1,1,2,0,0,1,1,1,2,0,NAO,0,0
d5f2524418999a3bbaada4fa1ed07a97fa68fad6,2014-01-14 12:11:57 -0800,0.4357755,1.8227315,1,1,2,1,2,5,1,3,2,1,NAO,0,0
205672fe30d96c45de367dc09697ca1c5899562d,2014-01-09 08:43:11 -0800,2.6804745,4.8975694,1,1,2,0,0,8,1,3,2,1,NAO,0,0
f5e8accdc4d9040d76b5c86399a1ffcaf304bb19,2014-01-09 08:39:34 -0800,5.0850000,8.7940972,2,1,3,1,1,8,5,3,2,0,NAO,0,0
a958ef6ed26b0706d5c165fdacf836a102de5463,2014-01-09 08:30:22 -0800,1.8483565,8.7877083,1,1,2,0,0,5,3,2,1,0,NAO,0,0
664186893b56eb051819f3eea0ff8860dd16202d,2013-12-31 13:36:04 -0800,6.0843287,7.2170833,3,1,4,0,0,30,1,15,2,0,NAO,0,0
