Hash do merge,Data do merge,Branching Time,Iso. Merge
9a010fde51788c041283cfca5b2fb75e8a287235,2017-10-09 18:32:26 -0400,90.2639120,201.9845949
62d62bc4eca23dbf4424392116964e68512026fd,2017-08-02 18:33:02 -0700,134.9456250,137.1830208
6ae49d6c48a469dd4ccde50d68820d73cc9db983,2017-08-02 18:29:38 -0700,241.5178704,263.7857060
d7dc91ddaebda7597e114a052d94eaa44ffb512d,2016-11-12 10:03:16 -0800,29.2249769,52.6036921
e90e864617d3c501c2eaa1119392781c58a2ce63,2016-09-14 09:55:33 -0700,14.2629745,17.7962731
826c498c6fb8fcb894017e6150aa615d3373efc3,2016-08-27 14:48:55 -0700,10.2726505,68.5586458
c2c2472e38db83acc9ba586027b705f3a9e98683,2016-04-06 15:46:17 -0700,17.8557755,30.5635532
49f84cc6f33b21292df816a0a63d36c87925dabb,2016-01-15 16:44:56 -0800,42.7451620,66.6663310
eef69fc7842d0c35900f639792c2f782024143ab,2015-06-24 21:41:41 -0700,38.6227778,42.8746412
c5f93cd2b1e48670ffbcfe894f8250dab5997183,2015-06-22 17:53:55 -0700,37.9957407,40.7164699
deefa934b227c5544b708aac27cf6fd552284d91,2015-06-22 17:51:18 -0700,3.6112731,14.1165972
89d76e55b5332ec7c966bc544cabebe6498daa0e,2015-06-18 23:06:01 -0700,34.2090509,36.9332060
ae47f768d71e4198c09f84d163a4e71e7ac1cbfc,2015-06-08 15:03:24 -0700,73.9562500,143.1684838
1f22b266c2411d1e06d7e518d5dd866fa40d107d,2014-10-01 10:16:46 -0400,9.1333449,26.2687616
ec5c9d21287d096d2e460e20e051f1ae4dc0223e,2014-07-24 23:05:48 -0700,10.7410417,11.0618287
2b76d2bde73734b7e51f66c43029236d4c1f9f52,2014-07-14 00:36:16 -0400,10.3128819,10.3291088
39d416dfce76eaf31c64e8ae5b838d9fc0ab2c49,2014-07-14 00:33:24 -0400,10.3081019,10.3271181
3128c63eb0e31630a9d61e8790af9e65f1e544c7,2014-07-08 01:05:51 -0700,2.9095139,4.4746528
ea0a05eb34b3a265b2a80c38b650567fbbcb0b9c,2014-07-06 14:40:15 -0400,1.2051505,2.9152083
08ff506852abf3af405157c1418dc71456ba37ab,2014-07-06 15:28:38 +0300,22.0468171,24.2274653
59da1ffbabcd8db2a4d29f0f04ef74cfb54178d3,2014-07-01 19:25:53 -0400,12.7111921,14.6960532
b36a84c3c44292c61896d8809f4451cffa32f9de,2014-07-01 19:06:18 -0400,22.8469560,26.4285880
bc84a173db84f43a7b9b7e0d2da8df4dcb42dc36,2014-06-18 23:02:11 -0700,2.2439468,3.4214815
31e9f8a3f14efbaf947412bd002dfdc7d8999853,2014-06-11 22:25:22 -0700,8.5613194,16.6831713
4677545a5d698165d6cae5549248fe7529894240,2014-06-11 22:10:50 -0700,3.2483449,6.6817361
f95c19c1f46adfb1b15c5acdfd7f4be255d9348e,2014-06-12 00:46:05 -0400,15.2000000,21.8696875
92c7ea0e3e1e3517a6e94b9dd534a2fc8018d0ae,2014-05-26 09:01:36 -0400,19.2126505,19.2775579
81057bf1325dfea18751dbed66c9738052154df5,2014-05-26 09:00:47 -0400,18.4535880,19.2769907
609b863e6cf86ec69ac44c2ae43436607c9de1f2,2014-05-24 01:13:13 -0700,1.4504745,3.0135301
97afb31a218d52a816630e3779c4b35df8a87071,2014-05-22 21:49:49 +0300,6.5437269,8.5842477
2bf7c3099b778e99857df038c0060e8517b7382d,2014-05-21 00:53:44 -0700,122.8358912,123.5513542
72abacac38121d08cd77dd6694afe0e9dd4accb0,2014-05-21 00:53:16 -0700,0.0186921,5.0307176
dc87aae33e253c121de340538e1cde9ebd43c790,2014-05-21 00:50:37 -0700,115.6019676,116.9692477
fbd97eaabe56e596507e2020d1f9cbed73f55bf6,2014-05-21 00:49:08 -0700,56.9933449,57.0074306
211078dbc43ab39dda4313ee00d7dbaba9789896,2014-05-21 00:44:05 -0700,23.7571528,25.6214120
219579a6896b835dd6a02a6e663779d4c372a9ea,2014-05-21 00:39:38 -0700,16.0599306,23.1796759
43f6e95695fd4384e7238ddac06e6e64d51a8fa3,2014-05-13 21:48:30 -0700,5.9880208,6.9351273
1d0c1988cf1ef8f43b06f259520bd41076820c6e,2014-05-07 02:21:55 -0400,5.5468981,9.1257060
83c63f8c40c8ff7df231e46cd28f05b6b60695b5,2014-04-27 20:20:54 -0700,29.3087153,33.8105787
cec7d6b47f2c44d528afd696f3c514d5b87791df,2014-04-25 09:49:15 -0700,11.8758333,13.0079514
f559c6d8f8576ecdee730a306282653ce6f0cd9a,2014-04-10 10:10:34 -0700,2.4195023,3.0123032
08f23184c513fa6ab2330330b49a8433f5f747aa,2014-04-10 09:54:36 -0700,17.2836574,18.8103241
93ec26986d18509cbd650bd537256a67a465f8fd,2014-04-07 12:52:51 -0400,4.1509838,4.2863079
0b2dfcbe949f6ed4a7a17168dadcc560ffc54066,2014-04-07 12:22:18 -0400,3.1724884,4.2650926
8d8bd2b5ef8613e297eba05576cd374b46a13c0b,2014-04-06 16:10:46 -0400,6.0173380,10.1234144
91f6c2e0623a01f17cc1e412be0e5ba06816f14f,2014-04-04 13:44:17 -0400,70.3846991,72.3457870
1ca72d1d11a9b4b895df91e71f2d334c272b0584,2014-04-04 13:43:54 -0400,0.4427431,1.3217593
546fc0914ecc5a101d1808fab7adc4f11b43a9e8,2014-04-04 13:42:37 -0400,0.0236921,1.3208681
e329d4015a9699d407000483e8e95da2f631034c,2014-04-04 07:44:59 +0000,4.6953125,7.6055093
e7e1b60e1228e38fde8e642eabb2c0eab7f6ff04,2014-04-02 10:49:11 -0400,3.6055903,5.9000926
