Hash do merge,Data do merge,Intersecção de Desenvolvedores,Mesmos desenvolvedores,Diferentes desenvolvedores
f3b43638b0a0e432c875d23208ed2dae4b5556dc,2013-10-13 01:39:11 -0700,0,0,1
bbf9412f549321fc72bb3c37bde7138a096f89f8,2013-10-13 01:37:55 -0700,1,1,0
95c86eaaa580df3557ad7eb27f48f6cb5658afb5,2013-10-08 19:33:27 -0700,0,0,1
11d7dc11e64001e6a7ab668ab347d34fec0923a7,2013-10-05 16:10:17 -0700,2,1,0
1bcf987c8bcf546a0442c39248b4365851593ff0,2013-10-04 03:32:58 -0400,1,1,6
6304ccb6e4377d911c5099a5293a8def4e4ea4e7,2013-10-03 11:32:22 -0700,1,1,0
2ccdbc0a605bb2ef807a3df2b9252accea238281,2013-10-03 11:28:31 -0700,0,0,2
51fef0e303608dd758e5c0262d5ead3a471f9e5c,2013-10-03 11:20:26 -0700,2,1,0
87b02b1c59b7f1232998ad3b7414e487e5a2a820,2013-10-02 18:33:35 -0400,1,1,4
d9840730e70dc147d275eb43c76003e1b04e77fc,2013-10-02 17:31:22 -0400,1,1,4
48c742c19c962f01f27c7aa74223a491413204cd,2013-10-02 00:22:39 -0700,1,1,1
be5de6530548ae52090aa6b5e45cdf370470be06,2013-09-30 16:06:08 -0700,0,0,1
bf54a47509622ab1b0f7cc491a5082bf59510270,2013-09-27 16:58:34 -0400,1,1,2
c40912d1cafda3961c97885aaa1b5191b04ea529,2013-09-27 07:33:01 -0700,1,1,0
bac5bb8b584c5b1e082ef221c0478ca4b245901d,2013-09-26 04:52:01 -0700,0,0,1
8f192bbc1d38e814a56c4f7b126928ad207a97ba,2013-09-26 00:14:35 -0400,1,1,6
0a607adb8471dca8f2c660db7e871de3e3b55884,2013-09-24 11:51:31 -0700,0,0,1
d35b902c28f639cce59257d788fcf64b789a0973,2013-09-18 00:22:45 -0700,2,1,0
3f1c1c69a6eb64ea2fd2d83f7093e2a4325e4a40,2013-09-17 00:24:11 -0700,1,1,0
4e9655ba55b20076ca65cac6f923c69334e37e43,2013-09-16 23:22:32 -0700,0,0,1
09a177f3815f453d8357bdb94568c7ae37cfd45c,2013-09-17 00:08:38 -0400,1,1,3
217b8b771cd9607164ebf16826514adc48ff4656,2013-09-16 20:22:10 -0700,0,0,1
9d20aa7934e849a0581b281f3bed2d3415acda28,2013-09-16 19:37:26 -0700,0,0,1
00b95806c7167ba8e8c6c2e62e1f45f53e3564c3,2013-09-16 21:58:58 -0400,1,1,9
b3e05bfc4a09aff59cc0ff86da126e9eb5504af2,2013-09-16 12:14:07 -0700,2,1,0
d450ceacf5afd22499be220e463005e339736c92,2013-09-16 12:11:24 -0700,2,1,0
77d57737cd9992a52382a86bfd81cfec502a4b85,2013-09-16 03:41:09 -0700,0,0,1
05295e00ba5eaa9fafafd3d87998dfd46b9b7b3b,2013-09-16 03:19:17 -0700,1,1,0
7054bae57c50c52fbb2b8cdab0ff33b2d59c74c8,2013-09-16 03:14:05 -0700,1,1,0
f0747749a27fc140b1ca24971d41675bcbeb3dd5,2013-09-16 03:11:54 -0700,1,1,0
6f547158fc92df9a047775553fac1f0baed703fb,2013-09-16 02:45:42 -0700,0,0,1
043c18153f52639ff79e48c122bf0d1b16d2531f,2013-09-14 21:36:36 -0700,0,0,2
407e797330b46d354eeffb6da64a67aaebdf5a13,2013-09-14 20:56:41 -0700,1,1,0
e69c63ec1b7c9afae7440030258deb4efb0b446b,2013-09-14 16:35:00 -0700,0,0,1
4a2dd10e71126b5015c972c2bf1d632fd4e4024b,2013-09-14 16:08:23 -0700,0,0,1
c4c36d282a7938ee01862df04c1e61f319161ca3,2013-09-14 14:13:43 -0700,0,0,1
9284a68edecbc3f94c630ff0a3781f0674d53c36,2013-09-14 14:08:24 -0700,0,0,1
8dbd8024572058fb3b0d10b8b8a952a46785b998,2013-09-14 12:22:00 -0700,0,0,1
ea2ab37e19f469af3de990cce979f16fc37c318a,2013-09-14 10:51:53 -0700,0,0,3
c15afaa904c4d0230b5c053924b288a680fd25e6,2013-09-14 01:32:11 -0700,0,0,1
85a283f36b4c2fef878a7751b1553e63db8635da,2013-09-13 21:41:15 +0300,2,0,0
e849c059701981b5c47555b94622f5d35b07387b,2013-09-09 22:24:53 +0700,0,0,11
63adde99e4b6e8d29ffc4bf82f034dd129adbdb4,2013-09-09 00:38:14 -0700,0,0,1
4995e04fad9a5a0902f84854c099e1ee35a75f13,2013-09-08 16:02:19 -0700,0,0,3
6ab0137dc9baa0ebff82b8a1a8ed4bb733db3aad,2013-09-08 15:53:58 -0700,0,0,1
1aebc6ff83bd0f7cd8234dc5b6c88adbb95438d6,2013-09-08 15:53:13 -0700,1,1,0
6c3ca9844493048a1f45e6593826c51b83736287,2013-09-08 11:23:09 -0700,0,0,1
c4c9175491d1f6005ce78b5f9bcd4f985ef18a68,2013-09-08 11:17:37 -0700,0,0,1
9a54ac57de425f0a2b7a89b91a4c657304ea1a82,2013-09-08 10:59:09 -0700,0,0,1
3ea46db83d5eca44ea319ca07f840ef60017d4a0,2013-09-03 13:33:42 -0700,1,1,0
0cb0eb231e896e40ab37b001ba23c8ecead3bd79,2013-09-03 11:41:09 -0700,0,0,1
172ffe487e56ca8efd41e211526197b5c114e851,2013-08-29 02:03:18 -0700,0,0,1
a0d58f2ff217fb6faa9a874b517819b4ab8fd372,2013-08-29 01:43:04 -0700,0,0,1
9c14c8c24c8f368d1abb76530aef72f480aa0452,2013-08-26 11:48:27 -0700,0,0,1
690dd3c45b879d6522435d2bc13076c9c0021aa2,2013-08-22 11:58:26 -0700,0,0,1
3057b07f831c7631677294610031cbaf079ecb5b,2013-08-19 11:48:31 -0700,0,0,1
48bf0ebfc1b8b2638bf48bfdf2d1035aff713578,2013-08-19 11:48:11 -0700,1,1,0
eea67b03b114033d7226fb11a5c6982a91d1fcdf,2013-08-19 11:21:40 -0700,1,1,0
5919648589b01889ba03048eb6195511939e14c7,2013-08-19 11:19:26 -0700,1,1,0
5cf86d0879e874a0d8c5b0d93adc007ad0a613e6,2013-08-19 10:44:12 -0700,1,1,0
7ade04b8e8ebbd67037c51aef5deb9c306a86ce0,2013-08-19 10:34:08 -0700,0,0,1
76ddc19338c295635d5f74667f046c12f6c908de,2013-08-19 09:21:32 -0700,0,0,1
463b7c032bddf6a490130a8965c67088b8fc2371,2013-08-19 09:19:52 -0700,0,0,1
6664ad71d0de00fd92cf83615021c32c81793227,2013-08-08 12:04:34 -0700,1,1,0
2f107036cdd9055a7b46496635866ae87435d5f7,2013-08-08 11:42:28 -0700,0,0,1
03efa302b0d4b7811f255343593f6cfd5f2219a6,2013-08-06 23:49:50 -0700,0,0,1
01d2135e1451f71485719bc45f3757ef5be4ee27,2013-08-06 23:32:58 -0700,0,0,1
569e17f48e629f4fdf87d4729b819ce9a90ea8ad,2013-08-04 23:46:18 -0700,1,1,0
b687b0f47163a8c71b83cc9347024f075a628a36,2013-07-29 22:04:47 -0700,0,0,1
3e2d8f7946e04e3b428c3f47a173a5dfd1aac860,2013-07-29 09:19:25 -0700,1,1,0
