Hash do merge,Data do merge,Tempo de isolamento 1 (dias),Tempo de isolamento 2 (dias),Tempo de isolamento (MAX),Desenvolvedores 1,Desenvolvedores 2,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
b427c443b413e45ca3d9629ba5b950bff7e78e47,2019-03-26 21:48:32,0.00,0.00,0.0,1,1,2,1,1,1,1,2,SIM,1,2
ec315f3081b8233a2e81a76bdc24a5430ea81bd1,2019-03-21 04:40:35,0.00,0.00,0.0,1,1,0,1,1,1,1,2,SIM,1,2
718bdbdb48b7f383e3f6f4003fff298ad187f646,2019-03-18 22:34:39,0.00,0.00,0.0,1,1,0,1,2,4,1,1,SIM,1,1
10f244ba2c0767da92409431c2f907c9f0b81e08,2018-10-23 20:26:03,0.00,0.00,0.0,1,1,0,1,1,1,1,2,SIM,1,1
14948a8aeb23924687bbe02ec6e586b37acb102f,2018-02-12 18:37:42,0.00,0.00,0.0,1,1,0,1,1,3,1,1,SIM,1,1
b06ce879b90cd891d971d0ab60d5b946fb40db15,2017-11-08 20:19:50,0.00,0.00,0.0,1,1,2,1,1,1,1,2,SIM,1,1
89506a70f659f1d32454edd9753835f44403e9b9,2017-05-12 21:35:52,0.00,0.00,0.0,1,1,2,1,1,6,1,1,SIM,1,2
