Hash do merge,Data do merge,Branching Time
3beae2ca85e6c2c411b2d8e03d9ec07a3d5bb98a,2015-07-10 11:05:03 -0600,23.5689352
9c5e9fc15595e9fe651548dbf8fcfa97b6e6eb56,2015-07-09 15:30:29 -0700,852.6710185
9d3288c843d245cfe2c32e4b2b0a8fd058b061c4,2015-07-03 19:34:23 -0700,7.1951273
6e72ac7d81591cbf3fd0e5a78d48c9959d589d2c,2015-06-25 18:51:46 +0200,8.6658218
f50c37d99316f2f7dc1618ea2eef4a0201a5ae0e,2015-06-22 11:11:51 -0700,835.4537037
79a7a86d4d56625fe21be227ecf66ddabc49e86f,2015-05-01 20:08:55 -0400,14.0521759
59a5c98f2c987080634ed078c9868e23e8c55820,2015-04-20 20:25:08 -0700,3.0469907
cac2a740a91adc66ec24c98648c594fa3d072bf2,2015-03-31 16:22:18 -0700,0.0074537
a0ce9cc38f5ffb0afe1093f86bff8d29a4e4d345,2015-03-23 21:36:37 -0700,744.8721991
59d3f6864b7240629b5fd78d856018570ca8e099,2015-03-23 19:47:20 -0700,47.2267361
eb2764a9452baa7cba2d98dc34fa00fc776b0a12,2015-03-16 14:26:55 -0700,734.4960301
b0425f0d2c3556a19ffe36fed4d777878e96e2eb,2015-03-04 18:10:32 -0800,725.8279745
e82e86b1a7fc3e3d15daeb5845f0ce4d83e15e92,2015-02-27 16:49:00 -0800,720.7752431
a6bdd8fd07c71298f6e21026939766ef80dd218e,2015-02-16 15:34:41 -0800,709.6397801
ddd40fd5dc42dd2ad841b0679611ac89c8f2d11d,2015-01-26 13:01:01 -0800,688.6084722
307daedd2c13f30ba7bf487b308570ca77847fca,2015-01-14 15:38:15 -0800,676.7320833
82d2fd18428a0dfd289f01455e129d3b9b69d68f,2015-01-14 05:21:41 +0100,0.0470139
fbfe562d71ae8d8f8bbf627808c755e513e4e905,2015-01-13 12:39:14 -0800,675.5642708
21c2636c9a7ee3473addcee0a6cd608e8952be79,2015-01-12 18:36:08 -0800,117.1439005
0c7f6ca83091eb5516d07153f35f851e47f753ee,2015-01-12 15:59:37 -0800,670.7425347
94e147500c5bf457c9101bda8c8020d8ff896708,2015-01-05 17:26:47 +0100,90.8185995
a6757fb9d09ad10304378309cfb45659bb5c53f1,2014-12-17 14:39:24 -0800,0.0507060
1afa8629789ae133d0bc1502ae4fe0bec4e6f262,2014-12-09 18:06:35 +0100,64.0912731
fcbbc7a050e9f03a8a8384b58774f6c151c0cbce,2014-11-22 17:55:59 +0100,47.0677894
d435f4b3eb53011f3dd00230e1818fa2720d6beb,2014-11-04 00:11:23 -0500,4.9130671
0d8cbdff51eab1fbaca06c26c12558fbd0bb8fe9,2014-10-29 16:24:12 +0100,82.8183912
6e997424177156001e1484f62bb1bbce4ea85046,2014-10-29 16:23:05 +0100,7.1719560
3a9754a27bf3b39fd4f83925fefdd3875b24b851,2014-10-29 16:15:15 +0100,23.0112037
be17aa4385c609fe8401c5209c59aee39291d169,2014-10-24 17:08:37 +0400,17.2528588
4412a71d76a0fa002f627ec21d2337e089da6764,2014-10-08 15:31:45 +0400,1.7768403
7c0419730b237dbfa0ec4e6fb33a99ff01825a8f,2014-09-17 08:26:44 -0700,40.2107986
7ca5af87a0662a1f8dca2391ae90a6342592302b,2014-09-16 17:48:09 -0700,556.7503935
912b5e05811fd24f09f9d65200a1561a4482f166,2014-08-07 16:34:07 -0700,7.6538657
a5778cdf01425ae39cea80b62f9ec6740aec724a,2014-08-07 16:33:35 -0700,516.7183218
f310c0f16b7d30c1f60eb4ae794748ef5d2ba77c,2014-07-29 12:51:27 +0400,507.1126505
4f1782ef750fb171eb90a1d97b14e2ed3a8a165d,2014-06-16 19:20:45 -0500,464.7664005
61770f21258a688199c83af2716945c3366f6296,2014-06-11 11:59:55 -0400,459.4161690
1a09da6ec219883668564d5d6cd30e8867d7e97d,2014-06-10 19:36:04 -0400,457.4998958
