Hash do merge,Data do merge,Branching Time
8eaa108cf66448131fc1ace8e46d4d5ee20b82a6,2019-11-27 13:42:38 +0100,"132,4839699"
07cad9f9412587ea1ad3214528b2750da818df8d,2019-11-26 12:47:35 +0200,"4,8986227"
78e1c50104cd4d71990a5d0877fec0c2820f9f00,2019-11-25 12:04:39 -0800,"65,9707986"
cbc691f7889f07de73596b98b116e8457beb410a,2019-11-25 12:03:43 -0800,"187,9604051"
bf8e17a7bc9d82f6b9d06316be9dabe30780c6a0,2019-11-25 14:59:26 -0500,"168,1631597"
64c430ce9bc82df3bdae4e4d93d9939804257efa,2019-11-25 14:59:25 -0500,"168,1631366"
5ce9e337e58ba4f90826ea6f90ad54c6e363407f,2019-11-25 14:59:15 -0500,"168,161169"
e0b230fff69fa088f8c57a4dec40dad68c65bd6c,2019-11-25 19:57:29 +0100,"130,6767014"
fc3509cd4a203253096bff1f3e4826cabfb83052,2019-11-25 12:03:31 -0500,"24,8427778"
4681f574768576c7ee07227831e39f3505e84d89,2019-11-22 12:02:08 -0800,"63,1543287"
63ce350c5ec195d66081b6c32b8ac2ff97b8eb61,2019-11-22 12:01:39 -0800,"185,0725463"
93a9cc76f62ae6167c8e47609b863530b560e946,2019-11-22 15:00:58 +0100,"0,661088"
807ba87ab71fc95269d76b0c57712dcae3558a4a,2019-11-22 12:24:35 +0100,"127,4016898"
23741ce3617657fa4210e2c875c440bfd3e471cd,2019-11-21 12:49:01 -0800,"62,1172338"
cd0b6b1256ee6d308ef2f9aa2ecc7b0e00bdeef4,2019-11-21 10:37:56 -0800,"183,9340162"
750b234076ee2269fe371e993b1d3d61279b0cfb,2019-11-19 14:52:54 -0500,"18,9855787"
45642472cb76c8f6da6c0c77fa641072a47bf014,2019-11-18 21:33:15 +0100,"123,8065046"
1a76ff9662d906747e292445d41670d0afc8232b,2019-11-18 14:25:49 -0500,"17,9596759"
0165cab24259e863edc12c4f3ea127b5149fb94e,2019-11-18 05:50:14 -0800,"39,8881366"
c375a27b9d29c3ea09508284ae34bf269608feec,2019-11-18 04:03:11 -0800,"39,8578241"
3194b8f9c041c05f175d321befb368bcc8b6deeb,2019-11-18 03:54:14 -0800,"39,8092824"
c3a49dcafee464552e9a14742792d0725371feb1,2019-11-18 09:23:43 +0000,"6,3959028"
322964150d562e819d8c75a609e27badd40be087,2019-11-15 14:27:25 -0500,"127,237963"
228042b2bb4ffff2871cf0337605740e439fc5f4,2019-11-15 08:35:44 -0800,"56,0054977"
f472b7fc27ee867a9fd102b8dced0c461d9b5d31,2019-11-15 08:35:32 -0800,"177,9270139"
668838a1247012b7ae76520d1883154745a7bff4,2019-11-14 13:14:20 -0800,"177,0953935"
7c59324c56733399d41f6ce453d0806368b23f66,2019-11-14 16:11:48 -0500,"14,0503125"
3a64290665e57c5a3dfa35f97255a5545ec5b8e9,2019-11-14 18:53:37 +0100,"119,6784375"
10735d8a48e07fa3a1960bbb374058d5d76c70b6,2019-11-14 15:01:22 +0100,"119,532419"
c91a5f4157ed4c0509fb72e9f04a9ff4dbf237b8,2019-11-13 14:49:41 -0800,"54,2029282"
c631a61a9d3c804a2b8c811e722064073803735d,2019-11-13 14:44:40 -0800,"176,0518634"
