Hash do merge,Data do merge,Branching Time
660f9fa523eed22ddec4393df0c3fd0af6f1a226,2019-11-27 10:35:51 -0800,0.7192824
cfe51927261ca0b8f6c650d09155dbf87b4dd231,2019-11-15 17:50:32 -0800,39.0377662
31387ff299d78cdcb2d9fbd645b9ec3fed5ef24b,2019-10-07 12:14:01 -0400,69.7764468
5d1625d7d03b49935736248c2d85da1882be6321,2019-09-16 09:32:12 -0700,0.5565046
e273b013518b6e1e8659b4df60086a91005ee7fd,2019-08-23 10:21:37 -0700,78.0595139
1ce904e81a576c63f774ed09d95324b96f403d1b,2019-08-19 14:52:33 +0300,73.0590394
3eb9f6f97ca1cabefc10429288cc603e023a47c0,2019-08-12 23:17:55 +0300,67.2579630
21c13f4e9bdb4c211678d40d6d37e42f74dd301a,2019-08-06 14:00:43 +0300,60.5776968
f2345e5d98f299b6bf3e58d53d105dcb54afcb2f,2019-07-26 00:23:58 +0300,49.2950231
55d9b3c858a5e2b1c93774a36bfb1e7ea468b73a,2019-07-03 07:54:01 +0300,26.4693981
38a6c043b42831faa7773aeb5f77b904e7af4e0c,2019-06-25 21:16:17 +0300,19.0596181
53954494a9f3eb4d0354e4236263ed757d27e6ca,2019-05-23 13:35:41 -0700,7.2669444
ca283c74c9fce6478f2522becc91090c2b24cf83,2019-05-21 10:07:17 -0700,5.1693634
5d45b59f7f910c17476835bf60dcb33e1a691bd2,2019-04-03 13:17:37 -0700,0.9165162
108545e4161c6c6b9aa8eadbe2ea6f27eee44013,2019-03-17 14:49:00 -0700,1.1958102
699ef08e84296f003c789584c28d7bb5fb20693b,2019-03-08 17:08:59 -0800,0.0860532
e31d3b52ee8e06144b1996a5c4979c48e86a8515,2019-02-14 17:31:14 -0800,0.1299769
f3e30c7ae3f10a9a5dbdb1894fb061bdd44f146b,2019-01-22 12:01:18 -0800,0.0618171
a3e5173c4741404ff11fa05e6b4c0f2000704399,2019-01-07 17:37:53 -0800,0.5950810
959c7a76e9f1caa78c82934d9ac79b6f9b3c4cd5,2019-01-04 16:47:27 -0800,0.3253704
7f0056f683f75a91f5a35d6813401b5e9064e3b7,2018-12-20 15:56:28 -0800,0.3470833
3ddd917ff4564cd304065ff3a1a7509fa953b7c7,2018-12-04 03:26:49 +1100,0.0663426
e12c0dcf660b9ce6068671131fde43817a66edc1,2018-11-19 11:25:34 +0900,3.0500579
cc0c6ad14ad9474c0ac478ac12e16477dddd87e8,2018-10-10 15:29:21 +1100,0.2499306
03e6113ef7e6a8f926fe2c2c5ac9f0f62f74c93e,2018-10-04 12:04:53 +1000,0.1606944
