Hash do merge,Data do merge,Branching Time
a85b0dbcacd32715cdf27f48596475011296f9ae,2017-07-18 16:52:31 +0200,0.2561574
7fb3987bf5d832471dc8b8abc614d18b81870f4d,2016-11-15 22:26:49 +0100,0.4984375
ea5fb51b4629981970df420b47499bee193dcbdf,2016-09-29 16:14:26 +0200,0.1954514
b868a24cb372e57fa3c9d35b86a81b9b239830e9,2016-08-31 15:36:00 +0200,1.1738773
81badc3aa4732664614c160941eaabbcb668e060,2016-08-31 09:28:20 +0200,0.8438426
0bdff666cb119b89541083bf305566394860a5aa,2016-07-27 10:15:52 +0200,0.0347569
e267e02a568fd79b7e2226a9d66f28da56f437ba,2016-07-09 10:22:16 -0700,0.4396181
dc5f4c31e39d688dccc3e69f22891d7ea89d8684,2016-04-08 13:06:27 -0700,1.1099074
31dc74afcdfeca1d8710832834f6acfad75661cf,2016-04-08 11:15:47 -0700,3.6837847
248e27fe0cdc9d8c6b1dfcfa30dfd7a93bcaff16,2016-04-07 12:03:55 +0100,46.7124769
7f6644c84f023325aa660924acefc72a07bdfcb5,2016-03-30 14:18:54 -0700,1.2467130
08f586012be8bec316431fee271061c5c3f688a0,2016-03-29 22:00:07 +0200,1.0614931
d72a41ed3f4d6c2e8176037ec9493fa15502a5bf,2016-03-23 23:41:13 +0100,9.8607755
97331fba062b4c6accb984caafc6992570080c67,2016-03-23 23:33:02 +0100,9.8606250
6c9ac6c1c16b0411792672562898eac8b74e4384,2016-03-23 23:32:49 +0100,9.8604514
213f8a887d4cd5401e5845664b721ee2aab651df,2016-03-23 23:32:34 +0100,9.8011690
8611671b550424a9d1f362096b3053527faef612,2016-03-23 22:07:12 +0100,9.8009144
f8be5c13e0f74e32f1c0feb4e0852ecdd8102733,2016-03-23 22:06:50 +0100,9.8005671
875e23275cce7188b914e51c6393684e9d4d053d,2016-03-23 22:06:20 +0100,5.0898380
fd2da397cfbf73a05f8c8715d18d11633c59d5bb,2016-03-18 08:50:29 +0100,129.3511806
df963fa2426cc0522645a07f97feecd438f2c8c9,2016-03-17 18:58:36 +0100,2.0914931
a92a0775415129bdec0968577f178fb0121c66b0,2016-03-17 10:56:43 -0700,3.6673611
00fdfaf044252887732848f13061f12aea9e803e,2016-03-17 13:13:16 +0100,2.0443403
f7321d2e04f63abc4a18a79aa07ab24cd27cf032,2016-03-16 14:50:25 +0100,1.4660301
d36b626a1768dc68e2b321ef7fb145126d4ab11f,2016-03-15 16:57:39 -0700,1.4631134
4fd0c600ecba6df4ef3a49b28f80633457c16294,2016-03-15 16:53:27 -0700,1.4339005
a4d56c8e94bd2b94f8cfe48405f7843ea5108733,2016-03-16 00:11:23 +0100,1.4336227
044620e97202e45c6982de2964578cec092e770d,2016-03-16 00:10:59 +0100,1.0802546
a42d0bf4903a885869b980550f99a1d5cb8cad01,2016-03-14 15:07:50 -0700,0.8735880
c62472cc7259c082d78c747022a6ecdfad1d7275,2016-03-14 10:10:14 -0700,0.8622338
e4f375006d1b4a3112fdd0cad7b8344fa05cbefd,2016-03-14 17:53:53 +0100,0.8526736
ad73819c785ff786be0ef66fde5df015d5f1ba83,2016-03-14 17:40:07 +0100,0.1542245
23439898adab7bcbb6f46902d0b85c515ba1523f,2016-03-03 14:10:12 -0800,115.3445255
0f7c55747df36e03d3d4df07f5bec66197aa1f29,2016-03-03 14:09:17 -0800,0.8639468
322fd2f511dacd8d59b627564d86d3e2dba0a912,2016-03-03 13:22:34 -0800,7.7139468
423172f2350d2f8ab906b702ee0c8e9843f4fada,2016-03-02 11:14:40 -0800,0.2657523
02e690309cb3a91e898b6b9572c0731f68495117,2016-02-24 20:20:33 +0100,107.2081944
3e6affde5d7d92b25ac083ac9dbac5d6c8f5596e,2016-02-23 10:58:31 -0800,105.7140856
3af1afeb2e1889a7732c6f4892fe850c1b3426c5,2016-02-22 07:37:03 +0100,134.2465162
d3ebd70d7c70e359f95f3e929c195b73e5ca6f55,2016-02-21 15:25:45 -0800,63.3816898
84ac53e359e2ad389cb507641f77575bc76a03d9,2016-02-19 10:50:00 +0100,7.4543403
c68dd0ac9061bf21ec1a651c7c4ef25e516b3d91,2016-02-19 10:49:02 +0100,5.8775347
996fcd75a1f60c7696f031c9794c6af7390a074f,2016-02-16 20:47:07 +0100,2.5201042
ee9956ac1372d174249e1e08da480e270d48af14,2016-02-14 11:24:25 +0100,0.9150579
9f496242bbe269fe626a2dcf50346e9234037b33,2016-02-11 12:58:56 -0800,0.5515278
b0fec58213a3dba08c50188bc61f1136f1bad218,2016-02-11 10:12:35 -0800,1.9578356
4e2e1d0f7f134f15d05704cff7f90cf78e335f10,2016-02-11 11:51:47 +0100,2.4679745
f8dcc9371ee7d213f1d21dfed2b56e1187b72832,2016-02-10 23:02:06 +0100,1.4112153
4603dcf8a01fab7c93bbe01dd1fdced5dd77a7e8,2016-02-10 20:17:27 +0100,1.2545255
1f9887532c983040b1b49f8444a776ef3a317d4f,2016-02-09 14:55:28 -0800,0.3284259
0a8b7bc40373982b8d8414237a5045845cd37b3e,2016-02-09 21:21:40 +0100,0.2481713
6052a022990b02da87ca96cf7a8c8501c6fea573,2016-02-08 21:35:53 +0100,52.3112037
48517ed72628b386cbefd230da468c951fb2a643,2016-02-08 07:31:23 +0100,52.2414005
eb39120af83508d61909f9a954514d1f0ce877a0,2016-02-06 17:54:18 +0100,10.6270949
996da2379ec1f9349a032da29772dfb00f7b5861,2016-02-06 17:04:15 +0100,1.2440972
bac1552a69f93bb1821e9fa1ed46b34b1bed63c9,2016-02-03 23:20:06 +0100,44.4771644
cd9a6ec308c3040321e51bf42cf1cc2cd2812a80,2016-02-03 22:38:07 +0100,3.6732292
8d95d16a096359be5b984e52bc6b86a34d618a82,2016-02-03 18:58:01 +0100,115.9078819
