Hash do merge,Data do merge,Branching Time
860aa65d109388db84a63228783b0760f7e9f763,2014-12-29 08:24:56 -0600,"0,4100926"
ab43c4cf2a0c6ff179321602b0a2ea87f2b9d260,2014-07-10 21:23:27 -0700,"1,318669"
62b3120ffd6650d0d652cb6b41620259851b1fbc,2014-07-09 08:07:42 -0700,"0,0141319"
5034e11f22715d48653a5c577d53796a09e83fbd,2014-07-09 07:56:06 -0700,"0,018287"
0ab5d6a7b8fc60e904771acedd8c37da9f39bd65,2014-03-25 07:30:07 -0700,"0,9255093"
c85150aaeafd976d7b63543d4eff43db7d2e1c7c,2014-03-24 22:22:20 -0700,"0,5398843"
ace64cf50fec40155081f1092f2d74b88d30518f,2014-03-24 21:57:14 -0700,"0,0577199"
d1e1a90d08af5cc6469725d7034d9472e5147956,2014-01-16 21:16:12 -0800,"0,4333449"
d026024e8c778e6d5c2c0ff8c94148fde8f88dfd,2013-12-21 09:45:58 -0600,"0,2469444"
1d8b152758d90e502517fb311aef1382e985858b,2013-12-18 23:09:01 -0800,"0,1272222"
7d49699e5fa8ff5ccb87d0ba5720c3e4f0c331b3,2013-12-11 09:24:58 -0800,"0,0212847"
f97f32df0f9d4774417cf0c012d591f7df64d376,2013-11-27 03:45:22 -0600,"0,0213194"
86b1ff512510abcd4b72522c4f2cb0c51b1c9603,2013-11-13 09:46:53 -0800,"0,0043981"
e538da3959fd3d24d2b559acfcf0770013850a18,2013-10-28 09:10:37 -0700,"0,7189236"
81ba623423c7ba81c47ee998b4bf7680566758d9,2013-08-03 13:32:40 -0700,"1,5561921"
2786c776e36676696c3c3e14b5a9d8867a8e5ece,2013-07-14 13:40:43 -0700,"0,0204977"
36e9cb71087b37c92c187c6ca88795047ce97f7e,2013-05-29 17:25:09 -0400,"0,2807407"
725746badf03351a8b0b97cc67d5fc3cfa91f4f2,2013-05-20 22:58:22 -0700,"1,3621875"
2d40dfd8d4280f621fe903093c8ff808d5a93f4e,2013-03-03 13:46:57 -0800,"0,707419"
afbe5aa5409e43dd29a49c4a15a37651ff6fb34d,2013-02-23 22:55:18 -0800,"0,176794"
2b23020695f5bafb2e598e994304a5a0c6dea834,2013-01-04 06:20:36 -0800,"1,2776505"
680798c28fc2c370f6a902f302ee729e8c46412a,2012-12-18 19:14:15 -0800,"0,3844444"
9f0cc45c4536a5b2829d7347020692d83d44ad69,2012-12-18 19:14:00 -0800,"0,3788773"
0ac97f467f789910ac988db2b70bb78b8dc44800,2012-12-18 19:09:33 -0800,"0,7491204"
897b85b6075bea9fad52ce266dcdd760131b4e70,2012-12-18 19:05:59 -0800,"0,7477315"
b2af8da9a2882d3391ee8e6bc71f8a4ea892d569,2012-12-13 23:49:38 -0800,"0,5505787"
069fc1f97bcfdf94e1d628f40f792173650e6865,2012-12-09 21:59:42 -0800,"0,321412"
07e7bca9ebf17d76d22114e466c6166472ea4c49,2012-12-01 18:49:46 -0800,"0,2242824"
e9f752bd67da4bd04a3917f35b102ee0912e71a9,2012-11-20 07:47:48 -0800,"1,6689583"
9d4618a223fd328bed8c054e763c68a09566f53e,2012-11-19 21:52:25 -0800,"1,2512384"
11343d469e4fb580471b31c93d596049e97259e1,2012-11-15 23:58:35 -0800,"0,0626736"
cae29941ea810694953e5bf21d6620a499d53b31,2012-10-22 21:37:32 -0700,"0,394919"
6452e5976b9af0e0675b6b47e7a62a5117fea765,2012-10-18 22:36:33 -0700,"0,4567824"
de3e5042fbb1a44da59b50977afeb51ade5da2a5,2012-10-18 08:21:01 -0700,"0,0870255"
c25fb4c743de079972bea37889bfb7f5ffdb3f4a,2012-09-26 22:31:18 -0700,"0,5858218"
5e592fbf29124c0116a864e53500ce995835d5f6,2012-06-29 03:58:54 -0400,"0,7265856"
d5be43695a72fce063ffb70824bd16ca45e4a4a5,2012-06-26 00:31:43 -0700,"6,2321528"
3d2428b27877229feb5c30968e4626f998eb2b07,2012-05-29 10:14:54 -0400,"0,1073727"
c8f3b128cb2edcb6529b691e8a3a5ac4482205b0,2012-05-19 21:11:09 -0700,"5,2294213"
dcb62a3df5f981228fe79ac55dbe82ae2a1bea33,2012-04-26 23:34:10 -0400,"0,0676157"
aebc8bda4dc074b74d845f7427ba4abb5966d84e,2012-04-23 20:18:46 -0700,"0,1529745"
588c6b978bafc8619d18f077cbfdc220cba0502f,2012-04-22 20:34:50 -0700,"0,2088657"
9a65fa200d49ba5ab95a8ac0b49ac26ed279910e,2012-04-14 15:49:00 -0400,"15,1255556"
2f4e926e34630556a72a6e487440fad46abf9f96,2012-04-09 14:11:35 -0400,"73,2181597"
c33e1506f48c6a37b27daa5fa6bc3edb7c19609c,2012-04-06 16:54:29 -0400,"3,0848611"
110523f9cf80606eb740f1219e752cce1757613a,2012-04-02 12:43:06 -0700,"87,9673727"
62114126d96cbd18b4bbc81cfc87f888be30e1d3,2012-04-02 12:27:38 -0700,"87,9519097"
18ba865009f651227f700c8720da69f6acc75121,2012-04-02 12:07:28 -0700,"87,9473958"
4fa0a9f4d53b44bfde27d8022d791f28abff62c9,2012-04-02 11:51:56 -0700,"87,8955787"
180b8b0c833dd8b81c024b2a59402706a5a74894,2012-04-02 13:46:49 -0400,"87,8748495"
