Hash do merge,Data do merge,Branching Time
e3a03c04c4530b06e77383fd73d2c43644dc832a,2019-05-10 15:16:40 -0700,"44,9576389"
4676c66b9a59bd06cf9b8d100b85d9b13258b9d7,2019-05-02 15:01:35 -0700,"36,9184491"
8af81d6a5a0df0c44552e152df47a2677394699e,2019-05-02 13:00:12 -0700,"36,9060995"
4f6908918463e6b415030780d474f82a7875bf60,2019-04-16 12:15:32 -0700,"20,8228935"
04923d330a041475ee28e1f901e89c42cd71ee0a,2017-05-18 18:11:49 -0700,"7,0470255"
7154ac48db627fc33a795384f6625fbeebd9cebb,2017-05-16 09:32:27 -0700,"4,6871181"
1fe118fe20c9b5c61096371ff5e22a8b2babc1ce,2016-07-27 13:04:54 -0700,"0,1118287"
280caba4b79b52bd87b177b78dbe50257ded7e05,2016-07-27 11:17:08 -0700,"0,0512963"
72de70250b30a0c2a5df0861a3956a9cdf9fe3ad,2016-07-27 11:16:46 -0700,"0,0290509"
181e33ef5b73980e95107b45760154652bc753d1,2016-07-27 10:45:11 -0700,"0,0290509"
3871b0eb2a3b476e0bb0fd8b2d7a43886d85ab4b,2016-07-22 11:12:54 -0700,"0,0216782"
6f0635d6e8c9c087845751887ab8c96e96ccfc0a,2016-07-21 11:17:18 -0700,"5,8907986"
3aa26cb1cc123f0fb7c4b632f36766bc60a67264,2016-07-21 11:16:36 -0700,"5,8849653"
3dd963b0880e49176b025fc2a2c171d1c00f44d7,2016-07-20 14:39:07 -0700,"0,0586111"
6070cd949f4d82ca744e94f1f6fe6b1bc5717bf8,2016-07-18 14:29:46 -0700,"0,1566898"
c14208dc6e656d3e6a588ebf760d9215ecc7b09e,2016-07-14 11:27:19 -0700,"1,6674421"
f83ea1ae6c15ab5b6857c2ddffa1d2d4e66aef4b,2016-07-12 14:24:16 -0700,"0,0623958"
6bb402c187ab2076b24c12da3b097d55eb927f51,2016-07-12 14:23:38 -0700,"0,0487847"
ea24d14c0c0161694154319a04b37cd7108aa315,2016-07-06 14:54:52 -0700,"0,0643981"
fa7f271448791692b6b69e57f0de6127677da4d0,2016-06-30 10:08:09 -0700,"0,1003125"
05bcbb6cd0af64f60222ab28335d2aa718563725,2016-06-28 14:02:05 -0700,"0,0022569"
55b51ee549217a1f4b94d2fb8772499d490fba2e,2016-06-23 10:03:49 -0700,"0,2057407"
6c0b88aad6e39a016b3606245048210b8857632b,2016-06-22 11:32:47 -0700,"0,0614931"
9fe7617184d892548180d881cbd7ab9583a8385d,2016-06-16 10:01:34 -0700,"0,0310648"
3641f4ebe5ea3425909fb7695b4ac6fb40298367,2016-06-16 09:46:37 -0700,"0,0266435"
fc2dbdeeb7f50ce16dd9ce0cfc391c7abea34da7,2016-06-15 10:22:25 -0700,"0,0198958"
0f1132f93a59dd716df90b581fb381652183fc0a,2016-06-14 15:41:49 -0700,"0,1561458"
d97ec68351b60217947e041b041fa023a8c8afb1,2016-06-10 15:04:18 -0700,"0,2660185"
d303081e9aae3dc19bf6ecfd4c789507e90004e1,2016-06-08 09:46:21 -0700,"0,0113657"
6d2d495369918788aabec19adf1aab35ff920cd9,2016-06-06 10:00:55 -0700,"2,6067593"
24dbf31a85df42e9687c208e7c66acdba8baa23f,2016-06-03 09:08:49 -0700,"0,1023495"
868a4b18a446aff9522aa7e7a1d28f346fb69386,2016-06-02 14:56:51 -0700,"0,0041551"
e7a28f31e5cf71d244edb702fd50940532ca0593,2016-06-02 09:15:46 -0700,"0,0971528"
77b8e3273d42a4c2a1497b7e3164dd2ffcbd723c,2016-05-31 11:31:16 -0700,"0,160787"
89678bb7cb57df7859cdf6364f6f96359d3cb4e6,2016-05-27 06:42:33 -0700,"0,4352199"
3693a7c303e9235688754af40f34912be4f29f63,2016-05-19 13:43:27 -0700,"0,018912"
8109bde6e33e539f6f5519e092d6fbb7665ef7d5,2016-05-19 11:19:55 -0700,"0,0207523"
d6548133cecd6511c2baf08f347477a85c7ff149,2016-05-17 11:15:41 -0700,"0,0083912"
