Hash do merge,Data do merge,Branching Time
819368a52dc9eb0ba4e20195783f2807872dabad,2019-05-06 15:23:35 -0400,"2,1675694"
42b67a1f95b9055735d28d51c07a70c7523a4f24,2019-04-11 19:11:21 -0700,"36,9664005"
86bf9dca72cd188813e26ef5dd972101ef8983cf,2019-02-24 06:33:44 -0800,"1,4433102"
a74864ec229141784374f1998324d2cbac837295,2019-01-07 10:00:10 -0800,"255,9375694"
4f3dbb3f3b0063b3ea14f6f2e73263defe70fde2,2019-01-06 16:33:17 -0800,"255,2095486"
ac6746d1be45db54aa97334396b7bf89e6926ada,2019-01-06 15:46:33 -0800,"255,1769444"
b2765893e6bd64787ab14b1d67eb7d29314f1bdf,2019-01-06 15:11:30 -0800,"0,003287"
3b45b82ec2640d4b0f4ffb9f0f7c898bd3d37b3b,2019-01-06 10:36:54 -0800,"254,9628009"
a656025c3bbedb1d8092e553cc799bcde375db3a,2019-01-06 10:34:52 -0800,"0,0054282"
aef4159588be8bc245243c80e5032ccc79092f42,2019-01-06 08:11:39 -0800,"0,0623611"
446cea9221e4f6d368a02a90cd105db0f8c9c7c9,2019-01-06 08:00:23 -0800,"0,055625"
7e65f1c5f13f7f721c64f551d0022f6907a35b40,2019-01-06 07:07:59 -0800,"0,0185301"
f7d50d4b673c9bf1a729f7d5fb04cf092542db3b,2019-01-05 15:12:17 -0800,"254,1518519"
15c079f500967543c033ddeb113febc1d84abc87,2019-01-05 15:07:06 -0800,"53,168912"
1096e226ccbae8135085322fb006a01836a19dcb,2019-01-05 15:06:41 -0800,"53,1638657"
d5665e4ba6cf4f7eabdc0be047952a27965a455f,2018-11-28 22:25:21 +0900,"54,8914005"
dcc02d6e7d4bf486e64aa5b6e55a75501c2ba2e5,2018-11-13 14:06:12 -0500,"14,7513426"
70b45094ab3d62b919a84f8fb8376e6614a98dd3,2018-10-23 08:27:46 -0700,"30,2289931"
345685c0143f030eda443d6c672ae1b705789027,2018-07-20 10:42:09 -0700,"9,1179051"
0bb25eb3673904179e772f4b7376ecc7fbe4822f,2018-06-28 22:23:08 -0700,"8,6052778"
b6edad64aadd5cb0085f8979fffdfd90614b045f,2018-06-28 07:22:35 -0700,"8,0716319"
81c2a1e47565708f7af359503ff61f16558007ad,2018-06-28 07:22:17 -0700,"7,6987037"
161c43649d8c362c8359e0b79aeca40c754c5b51,2018-06-14 13:31:40 +0200,"48,6684491"
9c0e110e233f67f1853a4ab8e0521ed4ff8afa9a,2018-06-03 18:39:17 +0900,"9,2296528"
